env,label,conns,duration,requests,errors,rps,lat_min,lat_mean,lat_p50,lat_p90,lat_p95,lat_p99,lat_max,err_pct
cloud,low-run1,10,30,9508,0,316.0,1.53,31.63,13.03,78.55,96.64,205.59,399.63,0.0
cloud,low-run2,10,30,11333,0,375.7,2.14,26.53,8.48,71.05,86.51,232.76,520.05,0.0
cloud,low-run3,10,30,9693,0,322.6,1.6,30.98,12.64,77.25,95.22,214.98,383.49,0.0
cloud,medium-run1,50,60,36660,0,607.3,3.63,81.93,73.39,124.39,203.72,478.26,1067.32,0.0
cloud,medium-run2,50,60,37242,0,618.8,2.1,80.7,75.87,127.38,196.87,413.87,881.88,0.0
cloud,medium-run3,50,60,36017,0,596.8,2.96,83.51,75.65,129.31,203.27,481.5,1081.54,0.0
cloud,high-run1,200,60,52385,0,866.0,6.83,230.12,174.39,520.22,646.05,1027.16,2388.22,0.0
cloud,high-run2,200,60,54950,0,903.6,2.88,219.99,164.54,487.29,637.33,905.83,2085.42,0.0
cloud,high-run3,200,60,56231,0,927.7,6.56,214.92,170.65,449.88,592.89,946.46,1642.92,0.0
cloud,burst-low-baseline,10,30,9102,0,303.1,2.12,32.98,14.82,78.41,93.78,238.76,439.63,0.0
cloud,burst-moderate,100,30,23441,0,759.7,5.2,128.84,97.33,242.61,359.08,665.13,1201.36,0.0
cloud,burst-peak,200,30,29054,0,957.8,8.23,207.58,168.74,417.05,589.18,883.57,1293.85,0.0
cloud,burst-recovery,10,30,9938,0,327.9,2.03,30.29,13.18,72.55,91.27,241.85,526.31,0.0
