env,label,conns,duration,requests,errors,rps,lat_min,lat_mean,lat_p50,lat_p90,lat_p95,lat_p99,lat_max,err_pct
edge,low-run1,10,30,9388,0,311.2,1.0,32.09,4.29,88.35,107.74,330.89,2464.75,0.0
edge,low-run2,10,30,13275,0,440.1,0.98,22.65,4.9,63.93,92.74,167.78,480.63,0.0
edge,low-run3,10,30,12228,0,405.7,1.05,24.57,5.77,81.37,92.31,168.55,436.37,0.0
edge,medium-run1,50,60,24594,0,406.9,0.98,122.29,35.72,287.16,613.58,1464.22,3980.75,0.0
edge,medium-run2,50,60,28982,0,477.4,0.89,104.01,31.11,257.18,529.23,1267.09,3290.28,0.0
edge,medium-run3,50,60,33960,0,556.9,0.98,89.52,26.13,232.06,438.83,951.67,3200.18,0.0
edge,high-run1,200,60,71946,32282,1189.9,1.14,246.0,133.72,593.75,931.08,1691.78,3830.56,44.87
edge,high-run2,200,60,68802,30819,1124.6,0.81,259.62,136.12,615.05,940.81,1791.9,4462.26,44.79
edge,high-run3,200,60,65782,30212,1084.5,0.96,267.5,137.22,651.56,1046.5,1863.28,4127.12,45.93
edge,burst-low-baseline,10,30,11760,0,387.8,0.82,25.65,6.4,76.74,96.24,180.71,517.94,0.0
edge,burst-moderate,100,30,15254,0,500.5,0.96,197.95,55.17,595.77,1104.11,1962.09,3772.57,0.0
edge,burst-peak,200,30,36558,15913,1189.5,1.09,240.45,136.16,582.11,878.21,1547.77,3189.73,43.53
edge,burst-recovery,10,30,12326,0,410.0,0.95,24.38,5.59,74.48,94.01,186.87,533.48,0.0
